Region,Main_brand,Category,Age,Gender,Nationality,OSAT,Communication,Ontime,Proposition,Delivery_fees,Restaurant_options,Grocery_options,Ease_usage,Delivery_process,App_sat,time_deliveryboy,Customer_support,Payment_process,Paying_,Product_quality
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,9,10,8,10,10,9,10,10,10,10,10,9,8,9,9
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Nationals,4,7,8,9,9,10,10,10,,9,10,,10,10,10
Central,MRSOOL,Restaurants,30 – 39 years,Female,Nationals,10,10,9,9,9,10,10,10,10,10,10,9,10,10,9
Western,HungerStation,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Expat Arabs,9,9,8,8,7,8,9,8,7,8,9,7,8,9,7
Central,HungerStation,Grocery: Supermarkets/Hypermarkets,15 – 29 years,Female,Expat Arabs,9,10,10,9,8,10,10,10,9,10,10,10,10,9,10
Central,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,8,5,7,7,4,4,7,7,9,10,10,10,10,10,9
Western,HungerStation,Restaurants,40 – 49 years,Female,Expat Arabs,7,7,8,6,10,10,9,9,10,9,8,9,8,9,7
Western,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,10,8,10,10,10,10,7,10,10,10,10,10,10,10,7
Northern,HungerStation,Restaurants,15 – 29 years,Female,Nationals,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,7,6,7,6,5,7,4,5,6,6,6,6,3,3,6
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Jahez,Restaurants,30 – 39 years,Male,Nationals,8,8,7,9,6,8,8,7,9,8,7,7,8,7,7
Central,MRSOOL,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,9,10,10,9,,10,9,10,10,10,10,,10,10,10
Eastern,Talabat,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Northern,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,7,7,7,7,7,8,4,8,7,8,7,8,9,9,8
Western,Nana,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Nationals,9,3,3,2,3,2,3,2,3,3,3,3,3,2,3
Central,MRSOOL,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,10,9,10,10,9,9,8,9,9,9,9,9,10,9,9
Northern,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,MRSOOL,On demand service (moving a small package from one location to another location within the city),30 – 39 years,Female,Nationals,10,8,9,7,8,9,10,9,9,10,9,8,9,10,9
Eastern,HungerStation,Restaurants,40 – 49 years,Male,Nationals,9,9,9,8,8,9,9,9,9,9,9,9,9,7,9
Western,MRSOOL,Restaurants,30 – 39 years,Male,Nationals,10,10,10,10,10,9,9,10,10,,,,,,
Central,Careemnow,Restaurants,40 – 49 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,Careemnow,Restaurants,15 – 29 years,Female,Expat Asians,7,6,8,7,8,6,7,6,8,7,7,8,8,6,4
Central,Careemnow,Personal care: Perfumes/Cosmetics/Beauty,30 – 39 years,Female,Nationals,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Careemnow,Personal care: Perfumes/Cosmetics/Beauty,30 – 39 years,Female,Nationals,6,8,7,5,8,5,4,7,9,4,7,7,4,6,
Central,MRSOOL,Restaurants,30 – 39 years,Male,Nationals,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,8,7,7,8,7,8,7,6,7,8,7,7,6,6,6
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,8,10,10,9,9,10,10,9,9,9,9,10,10,9,9
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,8,8,8,8,7,7,8,7,7,8,7,6,7,8,8
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,9,10,10,10,10,10,10,10,9,9,10,9,10,10
Eastern,HungerStation,Restaurants,50 years or more,Male,Nationals,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Western,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,9,7,9,7,10,8,10,8,8,10,9,8,9,10
Eastern,Talabat,Restaurants,40 – 49 years,Male,Expat Asians,9,10,,,,,,,,,,10,,,10
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,8,10,,8,9,10,9,8,9,10,,8,6,7
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,9,9,10,8,8,10,10,10,9,9,10,8,9,,10
Western,HungerStation,Restaurants,15 – 29 years,Male,Nationals,6,9,8,9,10,10,9,10,10,10,10,9,10,10,10
Western,HungerStation,Restaurants,40 – 49 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,MRSOOL,Restaurants,30 – 39 years,Male,Nationals,10,9,9,10,10,10,9,10,10,10,10,10,10,10,9
Central,HungerStation,Restaurants,30 – 39 years,Male,Expat Asians,5,6,7,8,7,8,6,8,9,10,,,,,
Central,MRSOOL,Restaurants,30 – 39 years,Female,Expat Arabs,6,8,8,7,7,8,8,8,8,7,8,2,6,6,9
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Expat Asians,10,10,9,10,9,9,10,9,10,9,9,10,10,9,9
Eastern,Careemnow,Restaurants,30 – 39 years,Male,Expat Asians,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,MRSOOL,Restaurants,30 – 39 years,Female,Nationals,8,6,9,6,4,6,6,6,6,5,5,6,6,5,6
Western,HungerStation,Restaurants,30 – 39 years,Female,Nationals,8,9,5,8,6,8,4,7,4,8,7,9,5,8,6
Eastern,MRSOOL,Restaurants,15 – 29 years,Female,Nationals,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,10,10,10,9,8,8,6,10,10,9,10,8,10,10,7
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,9,9,9,10,10,9,10,10,,9,10,,9
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Nationals,9,10,9,8,9,7,7,7,7,8,8,8,9,10,9
Central,MRSOOL,Electronics instant delivery (1 hour),50 years or more,Male,Nationals,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Northern,HungerStation,Restaurants,40 – 49 years,Male,Nationals,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9
Northern,HungerStation,Grocery: Supermarkets/Hypermarkets,40 – 49 years,Male,Nationals,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Central,HungerStation,Restaurants,15 – 29 years,Male,Nationals,9,10,9,8,9,7,8,9,9,8,8,10,10,9,9
Western,HungerStation,Restaurants,15 – 29 years,Female,Nationals,7,8,8,9,9,10,9,10,8,9,9,10,8,10,9
Northern,Talabat,Restaurants,30 – 39 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,30 – 39 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,10,8,9,9,10,10,9,9,9,10,9,10,10,10,10
Eastern,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,8,8,8,8,9,8,8,10,9,8,10,8,9,8,9
Central,HungerStation,Restaurants,50 years or more,Male,Expat Arabs,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
South,HungerStation,Restaurants,15 – 29 years,Male,Nationals,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10
Western,Careemnow,Electronics instant delivery (1 hour),15 – 29 years,Male,Nationals,10,10,8,9,8,8,8,7,7,6,5,7,7,6,8
Eastern,MRSOOL,Restaurants,50 years or more,Male,Nationals,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10
South,HungerStation,Restaurants,30 – 39 years,Male,Nationals,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10
Northern,HungerStation,Restaurants,40 – 49 years,Female,Expat Arabs,8,8,10,6,6,9,8,10,9,9,9,10,10,10,8
Central,Jahez,Grocery: Supermarkets/Hypermarkets,15 – 29 years,Female,Nationals,10,8,7,10,9,8,10,9,9,10,8,10,9,10,7
Eastern,HungerStation,Restaurants,40 – 49 years,Male,Expat Asians,10,10,9,10,10,10,9,10,10,10,9,9,9,9,9
Central,HungerStation,Restaurants,40 – 49 years,Female,Expat Asians,9,9,9,7,,,5,1,1,7,1,5,9,7,1
Eastern,HungerStation,Restaurants,15 – 29 years,Female,Nationals,9,7,7,6,5,6,4,6,4,8,8,8,6,6,6
Central,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,9,9,9,8,7,9,5,10,10,9,8,,10,9,9
Central,HungerStation,Restaurants,15 – 29 years,Female,Nationals,8,8,8,7,7,8,6,6,6,7,7,9,9,8,8
Western,HungerStation,Restaurants,30 – 39 years,Male,Nationals,9,9,9,10,10,9,9,10,9,10,9,9,9,9,9
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,9,10,10,10,10,10,10,10,10,10,10,9,9,9,9
Central,MRSOOL,Restaurants,40 – 49 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,7,6,7,5,1,7,4,3,4,7,6,7,4,7,5
Central,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,6,8,10,6,8,3,10,4,9,10,9,5,5,10,10
Eastern,HungerStation,Restaurants,15 – 29 years,Female,Nationals,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
Western,Careemnow,Restaurants,30 – 39 years,Female,Nationals,9,10,10,9,10,10,10,10,10,10,10,10,10,10,9
Western,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,9,8,9,8,9,9,,9,9,9,8,8,9,8,
Central,HungerStation,Restaurants,50 years or more,Male,Expat Arabs,10,10,7,8,7,8,6,9,8,7,10,9,7,6,7
Western,HungerStation,Restaurants,15 – 29 years,Female,Expat Arabs,5,6,9,6,1,,5,10,7,8,,8,,10,7
Central,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,10,10,10,10,8,10,,10,10,10,10,,10,5,10
Western,HungerStation,Restaurants,15 – 29 years,Male,Nationals,9,10,10,10,9,10,7,10,10,10,9,10,10,9,9
Northern,Talabat,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,8,8,9,7,8,9,8,9,7,9,10,8,9,8,9
Eastern,HungerStation,Grocery: Supermarkets/Hypermarkets,15 – 29 years,Male,Nationals,7,5,8,9,8,9,10,8,9,7,9,10,7,9,8
Eastern,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Western,ToYou,Restaurants,50 years or more,Male,Nationals,9,9,9,8,8,9,8,9,9,10,9,8,9,10,9
Northern,HungerStation,Restaurants,30 – 39 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Expat Arabs,9,7,5,3,9,6,,,6,9,5,2,6,2,5
Central,MRSOOL,Restaurants,15 – 29 years,Male,Nationals,9,10,9,8,9,9,9,10,8,9,9,10,10,9,10
Central,HungerStation,Restaurants,40 – 49 years,Male,Nationals,10,10,6,7,7,6,6,6,6,6,6,7,7,7,7
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Jahez,Restaurants,30 – 39 years,Male,Nationals,6,6,6,7,6,8,7,8,7,7,7,8,7,8,7
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,8,9,8,5,4,9,6,7,7,6,8,10,5,4,5
Central,Careemnow,Electronics instant delivery (1 hour),30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Northern,MRSOOL,Restaurants,15 – 29 years,Male,Nationals,8,6,7,8,8,9,9,9,9,9,8,7,8,7,7
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,9,8,8,7,7,7,7,8,8,8,8,8,8,8,8
Eastern,HungerStation,Restaurants,30 – 39 years,Male,Nationals,6,7,8,7,2,7,5,9,5,5,7,10,7,10,4
Eastern,HungerStation,Restaurants,15 – 29 years,Male,Expat Arabs,9,10,8,7,8,9,8,8,7,9,9,7,7,7,7
Western,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10
South,HungerStation,Restaurants,15 – 29 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
South,Talabat,Personal care: Perfumes/Cosmetics/Beauty,15 – 29 years,Male,Nationals,6,8,10,8,7,,10,9,9,10,10,9,7,,10
Central,Careemnow,Restaurants,40 – 49 years,Male,Expat Arabs,8,9,8,9,7,8,7,8,9,7,8,9,9,9,8
Central,MRSOOL,On demand service (moving a small package from one location to another location within the city),30 – 39 years,Male,Nationals,10,10,10,10,9,9,10,9,9,9,9,10,10,10,9
Central,MRSOOL,On demand service (moving a small package from one location to another location within the city),30 – 39 years,Male,Expat Arabs,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Eastern,Talabat,Restaurants,30 – 39 years,Male,Nationals,8,8,7,8,8,9,7,9,10,9,8,8,8,9,8
Western,Careemnow,Restaurants,30 – 39 years,Male,Expat Arabs,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Northern,HungerStation,Grocery: Supermarkets/Hypermarkets,40 – 49 years,Male,Nationals,8,7,8,7,7,8,8,8,8,8,7,8,8,8,8
Eastern,MRSOOL,Restaurants,15 – 29 years,Male,Nationals,9,5,5,5,1,4,4,5,1,3,3,3,3,3,3
South,HungerStation,Restaurants,15 – 29 years,Male,Expat Arabs,10,,10,8,9,10,7,6,6,9,9,9,8,7,5
Central,Careemnow,Restaurants,15 – 29 years,Female,Nationals,9,8,10,6,5,4,5,10,10,8,9,7,10,10,10
Central,HungerStation,Restaurants,15 – 29 years,Female,Nationals,10,10,9,10,9,10,9,9,9,9,10,8,10,9,8
Western,Careemnow,Restaurants,30 – 39 years,Female,Nationals,10,8,9,8,9,7,7,9,8,7,8,7,9,7,8
Western,MRSOOL,Restaurants,30 – 39 years,Female,Nationals,8,10,10,9,9,10,9,8,9,10,10,9,9,10,
Central,HungerStation,Restaurants,40 – 49 years,Female,Nationals,9,8,9,10,7,6,5,,10,10,10,10,10,10,10
Central,Nana,Restaurants,30 – 39 years,Male,Nationals,8,10,10,8,10,9,8,9,8,9,8,9,8,9,8
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Careemnow,Restaurants,30 – 39 years,Male,Nationals,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,MRSOOL,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Expat Arabs,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Western,HungerStation,Restaurants,40 – 49 years,Female,Expat Arabs,5,6,6,7,6,6,6,6,6,6,6,6,7,7,8
Central,HungerStation,Electronics instant delivery (1 hour),40 – 49 years,Male,Nationals,6,8,8,9,10,8,6,8,7,7,7,9,10,7,1
Central,MRSOOL,Restaurants,30 – 39 years,Male,Expat Arabs,7,8,8,7,8,7,8,7,8,7,8,8,7,8,8
Central,Careemnow,Restaurants,30 – 39 years,Male,Expat Arabs,9,9,10,10,9,9,10,10,10,10,9,,9,10,9
Central,HungerStation,Restaurants,15 – 29 years,Male,Nationals,10,10,9,10,5,8,10,8,6,10,7,9,7,10,
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Nationals,9,9,9,9,8,9,8,8,9,8,8,8,8,8,8
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,6,7,6,6,7,8,6,7,8,9,7,6,7,8,6
Northern,HungerStation,Restaurants,40 – 49 years,Male,Nationals,8,8,8,8,6,8,7,8,8,8,8,8,8,7,6
Central,HungerStation,Personal care: Perfumes/Cosmetics/Beauty,40 – 49 years,Female,Nationals,8,9,10,8,9,8,9,10,9,9,8,9,9,8,9
Western,Careemnow,Restaurants,40 – 49 years,Male,Expat Arabs,9,8,9,8,7,8,8,10,10,9,10,9,10,9,9
Northern,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,8,8,7,7,6,9,8,7,7,9,8,9,10,10,9
Western,MRSOOL,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,Poor - 1,5,6,6,6,6,6,6,5,6,6,6,6,6,6
Western,HungerStation,Restaurants,30 – 39 years,Male,Nationals,9,9,10,9,9,10,9,9,10,9,10,9,9,10,9
Central,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,7,10,9,9,9,9,9,9,9,9,9,9,9,9,9
South,MRSOOL,Restaurants,15 – 29 years,Male,Expat Arabs,9,7,9,8,9,9,10,9,9,9,9,9,9,9,9
Central,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,7,9,9,8,8,8,8,6,8,9,9,,6,6,8
Central,HungerStation,Personal care: Perfumes/Cosmetics/Beauty,30 – 39 years,Female,Nationals,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Central,HungerStation,Restaurants,15 – 29 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
Central,HungerStation,Restaurants,50 years or more,Male,Nationals,7,7,3,4,3,10,5,5,9,9,7,5,10,4,5
Central,Wassel,Restaurants,30 – 39 years,Male,Nationals,8,5,9,9,7,10,6,,8,9,7,10,7,10,9
Eastern,MRSOOL,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Nationals,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,MRSOOL,Electronics instant delivery (1 hour),15 – 29 years,Female,Expat Arabs,6,6,5,6,6,8,6,3,5,8,4,6,9,6,7
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,10,10,8,8,9,7,9,10,10,10,10,10,9,8,10
Western,HungerStation,Restaurants,30 – 39 years,Female,Nationals,9,9,9,10,9,9,8,9,9,10,9,9,9,9,9
Central,MRSOOL,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,10,10,9,8,8,10,10,10,9,9,10,9,9,10,9
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Northern,HungerStation,Restaurants,15 – 29 years,Male,Nationals,8,7,9,8,9,10,5,7,8,8,9,9,10,9,
South,HungerStation,Restaurants,30 – 39 years,Male,Nationals,7,6,7,5,7,5,6,6,5,7,6,6,7,6,7
Western,HungerStation,Restaurants,30 – 39 years,Female,Nationals,9,10,9,9,9,9,8,10,10,9,9,,10,,9
Central,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Careemnow,Restaurants,30 – 39 years,Male,Nationals,8,9,8,7,9,8,9,9,9,9,9,10,8,10,9
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,MRSOOL,Restaurants,15 – 29 years,Male,Nationals,10,9,8,7,7,7,8,6,9,10,6,9,10,9,10
Western,HungerStation,Restaurants,30 – 39 years,Male,Nationals,8,7,7,6,7,8,7,8,9,9,10,9,10,10,10
Central,HungerStation,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Expat Asians,9,10,10,9,9,10,10,9,9,10,10,9,9,9,8
Central,Talabat,Restaurants,30 – 39 years,Male,Expat Arabs,8,7,8,9,7,8,8,8,8,8,8,7,8,8,9
Eastern,ToYou,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Nationals,8,10,10,8,8,8,8,10,10,10,10,10,8,8,8
Western,HungerStation,Restaurants,30 – 39 years,Female,Nationals,9,9,9,8,7,9,8,9,10,8,9,8,8,9,9
Western,Careemnow,On demand service (moving a small package from one location to another location within the city),30 – 39 years,Male,Nationals,10,10,10,9,10,10,10,9,9,10,10,10,10,10,10
Central,HungerStation,Restaurants,15 – 29 years,Female,Expat Arabs,9,10,9,8,7,10,10,9,9,9,9,10,10,8,10
Western,MRSOOL,Restaurants,50 years or more,Male,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Nana,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Nationals,10,10,10,10,10,7,9,10,10,10,10,8,10,10,10
Central,MRSOOL,Pharmacies,30 – 39 years,Male,Expat Arabs,6,5,7,7,7,6,7,6,5,5,6,7,6,6,6
Western,MRSOOL,Restaurants,30 – 39 years,Male,Nationals,10,10,10,9,8,9,9,9,10,10,9,9,9,10,10
Central,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,8,8,7,7,6,7,7,8,7,7,6,6,9,7,8
Central,ToYou,Pharmacies,30 – 39 years,Female,Expat Asians,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,30 – 39 years,Female,Expat Asians,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Central,Careemnow,Restaurants,30 – 39 years,Male,Nationals,10,10,9,9,10,,10,9,8,9,10,10,9,10,9
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,9,9,10,8,9,9,10,9,8,8,9,8,9,10,9
Western,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,8,8,8,8,7,8,,8,8,9,8,8,8,8,
Eastern,HungerStation,Restaurants,15 – 29 years,Female,Nationals,10,10,10,6,8,10,10,10,10,10,10,10,10,10,10
Western,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,9,9,9,9,8,9,7,9,8,9,8,8,9,7,8
Eastern,HungerStation,Restaurants,15 – 29 years,Male,Expat Asians,7,5,6,5,2,8,7,8,9,9,7,5,5,5,6
Eastern,MRSOOL,Restaurants,15 – 29 years,Male,Nationals,8,6,8,8,8,9,9,9,9,9,7,8,8,8,8
Central,HungerStation,Restaurants,15 – 29 years,Female,Nationals,10,9,9,9,9,9,9,8,9,9,9,9,9,9,9
Western,HungerStation,Restaurants,40 – 49 years,Female,Expat Arabs,10,10,9,10,8,10,8,9,9,10,10,10,10,10,10
Central,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,10,9,9,8,8,9,7,8,9,9,7,8,9,9,8
Eastern,HungerStation,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Male,Nationals,8,9,8,7,8,9,9,8,10,9,10,8,9,7,10
Western,Careemnow,Restaurants,30 – 39 years,Male,Expat Arabs,7,5,8,8,7,7,7,6,8,8,7,5,9,9,6
Central,HungerStation,Restaurants,30 – 39 years,Male,Nationals,7,8,9,8,9,7,7,8,8,8,8,8,8,8,7
South,MRSOOL,Restaurants,15 – 29 years,Female,Nationals,9,10,10,10,9,10,10,9,8,10,9,9,10,10,10
Central,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,8,7,7,8,9,10,9,8,8,8,9,9,9,9,9
Western,Careemnow,Restaurants,15 – 29 years,Male,Nationals,9,10,8,8,9,9,8,9,8,9,8,9,8,8,9
Western,MRSOOL,Restaurants,30 – 39 years,Female,Nationals,7,8,8,7,7,7,6,7,7,7,8,7,7,7,7
South,HungerStation,Restaurants,15 – 29 years,Female,Expat Arabs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,MRSOOL,Restaurants,30 – 39 years,Female,Nationals,8,10,7,6,6,7,9,10,,,7,,2,1,3
Eastern,HungerStation,Restaurants,30 – 39 years,Male,Expat Arabs,7,7,8,7,6,7,8,8,8,8,6,6,6,6,7
Eastern,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,10,9,10,10,10,9,9,9,9,9,9,9,9,9
Eastern,Careemnow,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Eastern,MRSOOL,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,9,10,10,8,10,10,9,10,9,10,8,8,10,10,10
Central,HungerStation,Restaurants,30 – 39 years,Female,Nationals,10,9,9,9,9,10,10,10,10,10,10,10,10,9,9
Central,Careemnow,Restaurants,15 – 29 years,Male,Nationals,9,8,8,8,5,6,2,7,8,8,7,10,7,9,8
Central,Careemnow,Restaurants,40 – 49 years,Female,Nationals,8,9,9,9,10,5,4,8,8,9,9,8,9,8,9
Eastern,MRSOOL,Restaurants,30 – 39 years,Male,Expat Arabs,7,7,6,8,10,7,4,8,7,8,6,5,,3,7
Central,HungerStation,Restaurants,40 – 49 years,Male,Nationals,9,8,9,9,8,9,7,9,8,9,8,8,8,8,8
Central,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,8,9,9,9,9,5,9,8,9,9,9,9,9,9,9
Western,HungerStation,Grocery: Supermarkets/Hypermarkets,30 – 39 years,Female,Nationals,9,6,9,10,8,9,7,10,6,9,7,10,7,8,6
Central,HungerStation,Restaurants,40 – 49 years,Male,Expat Arabs,10,10,10,10,10,10,,10,10,10,10,,10,5,10
Eastern,HungerStation,Others please specify,30 – 39 years,Male,Expat Asians,8,9,8,9,9,10,9,10,10,9,9,9,9,9,9
Central,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9
Central,HungerStation,Restaurants,30 – 39 years,Female,Expat Arabs,9,8,9,9,9,8,8,6,7,9,9,10,10,10,10
Western,Careemnow,Restaurants,30 – 39 years,Female,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Northern,HungerStation,Restaurants,30 – 39 years,Male,Nationals,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Western,ToYou,Restaurants,15 – 29 years,Male,Nationals,10,,8,5,2,,,,,10,9,,,,
